ref_id,txn_date,amount,description
TXN10001,2026-08-14,9567.16,UPI/NEFT settlement
TXN10002,2026-08-06,11758.37,UPI/NEFT settlement
TXN10004,2026-08-04,15574.83,UPI/NEFT settlement
TXN10005,2026-08-02,17178.7,UPI/NEFT settlement
TXN10006,2026-08-14,2469.53,UPI/NEFT settlement
TXN10007,2026-08-05,9341.5,UPI/NEFT settlement
TXN10009,2026-08-14,7614.23,UPI/NEFT settlement
TXN10010,2026-08-11,5706.07,UPI/NEFT settlement
TXN10011,2026-08-15,13829.18,UPI/NEFT settlement
TXN10012,2026-08-02,12378.05,UPI/NEFT settlement
TXN10013,2026-08-03,8330.04,UPI/NEFT settlement
TXN10014,2026-08-08,7899.38,UPI/NEFT settlement
TXN10015,2026-08-15,13849.98,UPI/NEFT settlement
TXN10016,2026-08-14,15482.11,UPI/NEFT settlement
TXN10017,2026-08-01,16525.15,UPI/NEFT settlement
TXN10018,2026-08-13,6651.33,UPI/NEFT settlement
TXN10019,2026-08-05,1790.68,UPI/NEFT settlement
TXN10020,2026-08-15,4646.22,UPI/NEFT settlement
TXN10021,2026-08-08,8214.82,UPI/NEFT settlement
TXN10022,2026-08-15,13035.61,UPI/NEFT settlement
TXN10023,2026-08-03,5665.16,UPI/NEFT settlement
TXN10024,2026-08-04,15027.29,UPI/NEFT settlement
TXN10025,2026-08-07,18007.55,UPI/NEFT settlement
TXN10026,2026-08-07,5916.41,UPI/NEFT settlement
TXN10027,2026-08-03,10435.76,UPI/NEFT settlement
TXN10028,2026-08-02,15237.75,UPI/NEFT settlement
TXN10029,2026-08-14,2481.16,UPI/NEFT settlement
TXN10030,2026-08-13,13769.38,UPI/NEFT settlement
TXN10032,2026-08-10,19924.37,UPI/NEFT settlement
TXN10033,2026-08-09,5402.58,UPI/NEFT settlement
TXN10034,2026-08-09,12853.66,UPI/NEFT settlement
TXN10035,2026-08-12,2733.76,UPI/NEFT settlement
TXN10036,2026-08-15,15487.68,UPI/NEFT settlement
TXN10037,2026-08-06,2675.27,UPI/NEFT settlement
TXN10038,2026-08-07,3584.08,UPI/NEFT settlement
TXN10039,2026-08-01,14012.4,UPI/NEFT settlement
TXN10040,2026-08-05,19451.82,UPI/NEFT settlement
TXN10041,2026-08-13,3983.71,Unmatched bank credit
TXN10042,2026-08-14,12693.35,UPI/NEFT settlement
TXN10043,2026-08-14,3480.37,UPI/NEFT settlement
TXN10044,2026-08-13,3650.21,UPI/NEFT settlement
TXN10045,2026-08-08,879.8,UPI/NEFT settlement
TXN10046,2026-08-15,7578.12,UPI/NEFT settlement
TXN10047,2026-08-14,12080.99,UPI/NEFT settlement
TXN10048,2026-08-04,17621.19,UPI/NEFT settlement
TXN10049,2026-08-02,2170.24,UPI/NEFT settlement
TXN10051,2026-08-13,2701.03,UPI/NEFT settlement
TXN10052,2026-08-09,3719.98,UPI/NEFT settlement
TXN10053,2026-08-09,17512.44,UPI/NEFT settlement
TXN10055,2026-08-07,19305.08,UPI/NEFT settlement
TXN10056,2026-08-15,11016.27,UPI/NEFT settlement
TXN10057,2026-08-12,13952.42,UPI/NEFT settlement
TXN10058,2026-08-12,6578.47,UPI/NEFT settlement
TXN10059,2026-08-11,9042.95,UPI/NEFT settlement
TXN10060,2026-08-09,9303.98,UPI/NEFT settlement
TXN10061,2026-08-04,4881.6,UPI/NEFT settlement
TXN10062,2026-08-06,1267.89,UPI/NEFT settlement
