invoice_id,invoice_date,amount,customer_name
INV9001,2026-08-14,9800.96,Customer1
INV9002,2026-08-06,11758.37,Customer2
INV9004,2026-08-04,15574.83,Customer4
INV9005,2026-08-02,17178.7,Customer5
INV9006,2026-08-14,2469.53,Customer6
INV9007,2026-08-05,9341.5,Customer7
INV9008,2026-08-05,9341.5,Customer8-DUPLICATE
INV9009,2026-08-14,7617.72,Customer9
INV9010,2026-08-11,5706.07,Customer10
INV9011,2026-08-15,13829.18,Customer11
INV9012,2026-08-02,12378.05,Customer12
INV9013,2026-08-03,8477.96,Customer13
INV9014,2026-08-08,7899.38,Customer14
INV9015,2026-08-16,13849.98,Customer15
INV9016,2026-08-14,15482.11,Customer16
INV9017,2026-08-02,16525.15,Customer17
INV9018,2026-08-13,6651.33,Customer18
INV9019,2026-08-05,1790.68,Customer19
INV9020,2026-08-17,4646.22,Customer20
INV9021,2026-08-08,8214.82,Customer21
INV9022,2026-08-15,13035.61,Customer22
INV9023,2026-08-03,5665.16,Customer23
INV9024,2026-08-04,15033.52,Customer24
INV9025,2026-08-07,18007.55,Customer25
INV9026,2026-08-07,6067.95,Customer26
INV9027,2026-08-03,10435.76,Customer27
INV9028,2026-08-02,15237.75,Customer28
INV9029,2026-08-14,2535.09,Customer29
INV9030,2026-08-13,13769.38,Customer30
INV9031,2026-08-10,1738.79,Customer31
INV9032,2026-08-10,19924.37,Customer32
INV9033,2026-08-09,5402.58,Customer33
INV9034,2026-08-09,13050.92,Customer34
INV9035,2026-08-12,2733.76,Customer35
INV9036,2026-08-17,15487.68,Customer36
INV9037,2026-08-06,2675.27,Customer37
INV9038,2026-08-07,3584.08,Customer38
INV9039,2026-08-01,14353.42,Customer39
INV9040,2026-08-05,19451.82,Customer40
INV9042,2026-08-14,12693.35,Customer42
INV9043,2026-08-15,3480.37,Customer43
INV9044,2026-08-13,3645.02,Customer44
INV9045,2026-08-08,879.8,Customer45
INV9046,2026-08-15,7578.12,Customer46
INV9047,2026-08-14,12294.85,Customer47
INV9048,2026-08-04,17621.19,Customer48
INV9049,2026-08-02,2170.24,Customer49
INV9051,2026-08-13,2760.65,Customer51
INV9052,2026-08-09,3719.98,Customer52
INV9053,2026-08-09,17512.44,Customer53
INV9054,2026-08-09,17512.44,Customer54-DUPLICATE
INV9055,2026-08-07,19305.08,Customer55
INV9056,2026-08-15,11016.27,Customer56
INV9057,2026-08-12,13952.42,Customer57
INV9058,2026-08-12,6578.47,Customer58
INV9059,2026-08-13,9042.95,Customer59
INV9060,2026-08-09,9303.98,Customer60
INV9061,2026-08-04,4881.6,Customer61
INV9062,2026-08-06,1294.48,Customer62
