order_id,settle_date,amount,gross_amount,fee
ORD5001,2026-08-14,9567.16,9800.96,233.8
ORD5002,2026-08-06,11758.37,11758.37,0
ORD5003,2026-08-12,1856.33,1856.33,0
ORD5004,2026-08-04,15574.83,15574.83,0
ORD5005,2026-08-02,17178.7,17178.7,0
ORD5006,2026-08-14,2469.53,2469.53,0
ORD5007,2026-08-05,9341.5,9341.5,0
ORD5009,2026-08-14,7614.23,7614.23,0
ORD5010,2026-08-11,5706.07,5706.07,0
ORD5011,2026-08-15,13829.18,13829.18,0
ORD5012,2026-08-02,12378.05,12378.05,0
ORD5013,2026-08-03,8330.04,8477.96,147.92
ORD5014,2026-08-08,7899.38,7899.38,0
ORD5015,2026-08-15,13849.98,13849.98,0
ORD5016,2026-08-14,15482.11,15482.11,0
ORD5017,2026-08-01,16525.15,16525.15,0
ORD5018,2026-08-13,6651.33,6651.33,0
ORD5019,2026-08-05,1790.68,1790.68,0
ORD5020,2026-08-15,4646.22,4646.22,0
ORD5021,2026-08-08,8214.82,8214.82,0
ORD5022,2026-08-15,13035.61,13035.61,0
ORD5023,2026-08-03,5665.16,5665.16,0
ORD5024,2026-08-04,15027.29,15027.29,0
ORD5025,2026-08-07,18007.55,18007.55,0
ORD5026,2026-08-07,5916.41,6067.95,151.54
ORD5027,2026-08-03,10435.76,10435.76,0
ORD5028,2026-08-02,15237.75,15237.75,0
ORD5029,2026-08-14,2481.16,2535.09,53.93
ORD5030,2026-08-13,13769.38,13769.38,0
ORD5032,2026-08-10,19924.37,19924.37,0
ORD5033,2026-08-09,5402.58,5402.58,0
ORD5034,2026-08-09,12853.66,13050.92,197.26
ORD5035,2026-08-12,2733.76,2733.76,0
ORD5036,2026-08-15,15487.68,15487.68,0
ORD5037,2026-08-06,2675.27,2675.27,0
ORD5038,2026-08-07,3584.08,3584.08,0
ORD5039,2026-08-01,14012.4,14353.42,341.02
ORD5040,2026-08-05,19451.82,19451.82,0
ORD5042,2026-08-14,12693.35,12693.35,0
ORD5043,2026-08-14,3480.37,3480.37,0
ORD5044,2026-08-13,3650.21,3650.21,0
ORD5045,2026-08-08,879.8,879.8,0
ORD5046,2026-08-15,7578.12,7578.12,0
ORD5047,2026-08-14,12080.99,12294.85,213.86
ORD5048,2026-08-04,17621.19,17621.19,0
ORD5049,2026-08-02,2170.24,2170.24,0
ORD5050,2026-08-08,16412.45,16412.45,0
ORD5051,2026-08-13,2701.03,2760.65,59.62
ORD5052,2026-08-09,3719.98,3719.98,0
ORD5053,2026-08-09,17512.44,17512.44,0
ORD5055,2026-08-07,19305.08,19305.08,0
ORD5056,2026-08-15,11016.27,11016.27,0
ORD5057,2026-08-12,13952.42,13952.42,0
ORD5058,2026-08-12,6578.47,6578.47,0
ORD5059,2026-08-11,9042.95,9042.95,0
ORD5060,2026-08-09,9303.98,9303.98,0
ORD5061,2026-08-04,4881.6,4881.6,0
ORD5062,2026-08-06,1267.89,1294.48,26.59
